,Games,Accuracy_Passes,Shots_Total,Goals_Total,Weight_kg,Height_cm,Rating
191,30.0,86.0,19.0,3.0,84.0,188.0,1
192,20.0,79.0,9.0,2.0,77.0,184.0,1
193,19.0,78.0,24.0,0.0,66.0,171.0,1
194,31.0,85.0,9.0,1.0,77.0,186.0,1
195,23.0,86.0,17.0,1.0,65.0,171.0,1
196,35.0,78.0,63.0,9.0,73.0,177.0,2
197,6.0,76.0,2.0,0.0,73.0,175.0,0
198,34.0,81.0,25.0,3.0,77.0,181.0,2
199,35.0,74.0,120.0,29.0,86.0,182.0,2
200,16.0,76.0,3.0,0.0,80.0,192.0,1
201,34.0,66.0,56.0,5.0,83.0,187.0,1
202,15.0,74.0,4.0,0.0,79.0,192.0,1
203,28.0,77.0,44.0,3.0,63.0,169.0,1
204,10.0,87.0,11.0,2.0,79.0,184.0,1
205,3.0,76.0,0.0,0.0,83.0,185.0,0
206,23.0,79.0,19.0,5.0,85.0,187.0,2
207,4.0,79.0,2.0,1.0,66.0,172.0,1
208,23.0,87.0,18.0,0.0,68.0,171.0,2
209,22.0,80.0,6.0,0.0,73.0,182.0,1
210,11.0,74.0,8.0,0.0,80.0,180.0,1
211,2.0,72.0,0.0,0.0,65.0,175.0,1
212,32.0,68.0,64.0,7.0,72.0,178.0,1
213,2.0,87.0,3.0,0.0,70.0,170.0,0
214,25.0,91.0,6.0,1.0,75.0,182.0,2
215,26.0,80.0,14.0,1.0,74.0,179.0,1
216,17.0,86.0,11.0,1.0,78.0,184.0,2
217,26.0,65.0,34.0,4.0,75.0,189.0,1
218,29.0,79.0,13.0,3.0,81.0,180.0,1
219,38.0,54.0,0.0,0.0,85.0,190.0,1
220,22.0,60.0,37.0,4.0,70.0,180.0,1
221,32.0,56.0,56.0,7.0,80.0,187.0,1
222,32.0,84.0,25.0,4.0,73.0,169.0,1
223,33.0,79.0,41.0,9.0,76.0,182.0,1
224,32.0,79.0,47.0,8.0,68.0,175.0,1
225,18.0,47.0,0.0,0.0,80.0,192.0,0
226,2.0,95.0,0.0,0.0,80.0,182.0,2
227,26.0,81.0,29.0,2.0,68.0,172.0,1
228,15.0,73.0,14.0,0.0,66.0,175.0,1
229,3.0,79.0,0.0,0.0,72.0,180.0,0
230,32.0,79.0,27.0,1.0,81.0,184.0,1
231,25.0,73.0,10.0,2.0,75.0,186.0,1
232,29.0,79.0,162.0,25.0,83.0,187.0,2
233,29.0,73.0,33.0,6.0,79.0,185.0,1
234,9.0,73.0,1.0,0.0,78.0,190.0,1
235,23.0,71.0,2.0,1.0,72.0,178.0,0
236,27.0,75.0,15.0,2.0,84.0,183.0,1
237,32.0,76.0,19.0,1.0,73.0,174.0,1
238,24.0,77.0,20.0,0.0,71.0,180.0,1
239,5.0,66.0,0.0,0.0,80.0,184.0,1
240,32.0,84.0,12.0,1.0,78.0,182.0,2
241,36.0,68.0,8.0,0.0,72.0,178.0,1
242,10.0,86.0,7.0,0.0,71.0,181.0,0
243,10.0,74.0,5.0,0.0,75.0,182.0,1
244,15.0,71.0,6.0,0.0,88.0,186.0,1
245,14.0,78.0,12.0,1.0,66.0,171.0,1
246,16.0,77.0,13.0,2.0,69.0,170.0,1
247,25.0,74.0,27.0,2.0,70.0,170.0,1
248,22.0,80.0,27.0,0.0,73.0,175.0,1
249,31.0,79.0,8.0,1.0,62.0,171.0,2
250,35.0,82.0,41.0,7.0,65.0,170.0,1
251,34.0,74.0,28.0,1.0,89.0,189.0,2
252,29.0,60.0,16.0,1.0,73.0,175.0,1
253,22.0,65.0,9.0,0.0,81.0,186.0,1
254,25.0,66.0,9.0,1.0,72.0,185.0,1
255,1.0,40.0,0.0,0.0,69.0,178.0,0
256,23.0,74.0,12.0,2.0,68.0,170.0,0
257,38.0,66.0,67.0,5.0,81.0,186.0,1
258,35.0,53.0,0.0,0.0,89.0,196.0,1
259,25.0,72.0,15.0,1.0,73.0,178.0,1
260,28.0,68.0,23.0,1.0,65.0,170.0,0
261,24.0,69.0,26.0,7.0,79.0,186.0,1
262,1.0,38.0,0.0,0.0,76.0,183.0,0
263,21.0,76.0,11.0,3.0,80.0,188.0,1
264,26.0,76.0,21.0,2.0,71.0,176.0,1
265,1.0,100.0,0.0,0.0,83.0,185.0,0
266,27.0,77.0,11.0,4.0,90.0,189.0,2
267,23.0,73.0,15.0,2.0,86.0,189.0,0
268,32.0,73.0,41.0,3.0,74.0,181.0,1
269,1.0,91.0,0.0,0.0,71.0,174.0,0
270,18.0,71.0,6.0,1.0,71.0,168.0,1
271,17.0,78.0,5.0,1.0,84.0,188.0,1
272,2.0,79.0,0.0,0.0,80.0,184.0,1
273,13.0,71.0,19.0,1.0,66.0,174.0,1
274,22.0,72.0,0.0,0.0,84.0,189.0,1
275,23.0,75.0,19.0,4.0,79.0,185.0,1
276,30.0,76.0,29.0,3.0,64.0,171.0,1
277,11.0,60.0,3.0,0.0,64.0,175.0,1
278,13.0,49.0,0.0,0.0,88.0,195.0,1
279,15.0,76.0,1.0,0.0,79.0,184.0,1
280,35.0,71.0,22.0,1.0,74.0,182.0,1
281,17.0,68.0,11.0,2.0,70.0,174.0,1
282,4.0,69.0,0.0,0.0,80.0,191.0,0
283,2.0,58.0,0.0,0.0,74.0,187.0,1
284,5.0,48.0,3.0,0.0,69.0,176.0,1
285,28.0,71.0,39.0,7.0,80.0,190.0,1
286,1.0,38.0,0.0,0.0,73.0,180.0,1
287,16.0,74.0,9.0,1.0,83.0,192.0,1
288,7.0,43.0,0.0,0.0,74.0,184.0,1
289,21.0,66.0,58.0,6.0,79.0,183.0,1
290,28.0,75.0,77.0,10.0,77.0,186.0,1
291,11.0,59.0,7.0,0.0,74.0,179.0,0
292,13.0,74.0,2.0,0.0,85.0,186.0,1
293,30.0,74.0,54.0,7.0,82.0,187.0,2
294,17.0,75.0,3.0,0.0,78.0,181.0,1
295,3.0,85.0,6.0,0.0,75.0,181.0,1
296,5.0,87.0,3.0,0.0,75.0,185.0,1
297,30.0,77.0,3.0,0.0,72.0,180.0,1
298,13.0,40.0,0.0,0.0,87.0,190.0,0
299,22.0,84.0,11.0,1.0,80.0,183.0,1
300,10.0,65.0,11.0,2.0,72.0,173.0,1
301,3.0,66.0,0.0,0.0,68.0,173.0,0
302,23.0,89.0,8.0,0.0,82.0,190.0,1
303,16.0,83.0,8.0,1.0,77.0,185.0,1
304,17.0,82.0,1.0,0.0,81.0,186.0,2
305,33.0,82.0,17.0,2.0,86.0,189.0,2
306,27.0,68.0,0.0,0.0,80.0,185.0,1
307,23.0,84.0,12.0,1.0,81.0,191.0,2
