,Accuracy_Passes,Goals_Assist,Goals_Total,Height_cm
564,83.0,0.0,0.0,193.0
566,54.0,0.0,0.0,185.0
567,75.0,1.0,0.0,187.0
568,72.0,0.0,0.0,182.0
569,78.0,3.0,13.0,169.0
570,71.0,0.0,0.0,183.0
572,57.0,0.0,0.0,182.0
576,75.0,1.0,0.0,175.0
577,72.0,2.0,2.0,180.0
578,57.0,2.0,3.0,190.0
579,74.0,2.0,0.0,186.0
580,84.0,3.0,1.0,176.0
581,74.0,3.0,2.0,182.0
582,75.0,4.0,1.0,168.0
583,79.0,0.0,0.0,185.0
584,81.0,2.0,2.0,177.0
585,64.0,1.0,5.0,192.0
586,81.0,0.0,0.0,178.0
589,50.0,0.0,0.0,185.0
591,75.0,0.0,1.0,185.0
592,56.0,0.0,0.0,186.0
593,65.0,1.0,2.0,179.0
594,81.0,1.0,0.0,182.0
595,47.0,0.0,0.0,187.0
597,72.0,0.0,0.0,191.0
598,66.0,0.0,1.0,187.0
599,65.0,0.0,0.0,173.0
601,70.0,4.0,11.0,170.0
603,86.0,1.0,3.0,188.0
604,84.0,1.0,1.0,180.0
605,80.0,2.0,2.0,173.0
606,79.0,0.0,2.0,184.0
607,82.0,0.0,1.0,177.0
608,75.0,0.0,3.0,184.0
609,77.0,1.0,1.0,181.0
611,80.0,1.0,0.0,175.0
612,73.0,2.0,5.0,177.0
615,61.0,0.0,0.0,180.0
620,73.0,5.0,12.0,172.0
621,81.0,0.0,0.0,190.0
623,78.0,0.0,0.0,171.0
625,55.0,0.0,0.0,180.0
626,66.0,0.0,0.0,184.0
627,66.0,2.0,3.0,190.0
629,65.0,0.0,0.0,185.0
632,80.0,0.0,0.0,186.0
636,32.0,0.0,0.0,187.0
640,74.0,1.0,2.0,188.0
642,67.0,0.0,0.0,176.0
643,70.0,1.0,2.0,179.0
645,70.0,0.0,0.0,192.0
646,63.0,0.0,0.0,171.0
647,73.0,0.0,0.0,182.0
651,68.0,0.0,0.0,184.0
660,100.0,0.0,0.0,185.0
661,77.0,0.0,4.0,189.0
663,87.0,0.0,0.0,177.0
664,71.0,0.0,1.0,168.0
667,79.0,0.0,0.0,184.0
668,69.0,1.0,0.0,191.0
669,90.0,0.0,0.0,171.0
670,71.0,1.0,7.0,190.0
672,75.0,1.0,4.0,185.0
674,75.0,2.0,8.0,175.0
675,72.0,0.0,3.0,175.0
676,64.0,0.0,1.0,175.0
677,76.0,3.0,3.0,171.0
