"Spain","Villarreal","Defender","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Medium Height"
"Ecuador","Espanyol","Attacker","(60-90) AP","(0-10) Goals","Low Rating","Heavy Weight","Medium Height"
"Venezuela","Malaga","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Morocco","Deportivo La Coruna","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Brazil","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Las Palmas","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"Spain","Espanyol","Attacker","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Costa Rica","Espanyol","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Morocco","Leganes","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Valencia","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Sporting Gijon","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Portugal","Deportivo La Coruna","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Short"
"Spain","Villarreal","Defender","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Athletic Club","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"France","Eibar","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Spain","Osasuna","Attacker","(30-60) AP","(0-10) Goals","Low Rating","Middle Weight","Short"
"Spain","Osasuna","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Defender","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Spain","Osasuna","Attacker","(30-60) AP",NA,"Low Rating","Light Wieght","Medium Height"
"Spain","Leganes","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Short"
"Ghana","Athletic Club","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Tall"
"Serbia","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Middle Weight","Medium Height"
"Spain","Eibar","Defender","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Short"
"Spain","Eibar","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Celta Vigo","Goalkeeper","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Valencia","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Sporting Gijon","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Netherlands","Barcelona","Goalkeeper","(90+) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Argentina","Valencia","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Italy","Real Betis","Defender","(60-90) AP","(0-10) Goals","Low Rating","Heavy Weight","Medium Height"
"Denmark","Celta Vigo","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Leganes","Midfielder","(90+) AP",NA,"Low Rating","Light Wieght","Short"
"Belgium","Valencia","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Iceland","Granada CF","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Australia","Valencia","Goalkeeper","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Guadeloupe","Celta Vigo","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
