"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"121",30,"Midfielder",34,"Leganes",809,25,323,5,"Low Rating",83,187
"122",35,"Midfielder",28,"Eibar",486,25,145,3,"Average Rating",63,169
"123",34,"Attacker",14,"Villarreal",141,6,61,2,"Average Rating",72,180
"124",34,"Midfielder",10,"Sevilla",285,4,30,2,"High Rating",79,184
"125",34,"Midfielder",4,"Sevilla",105,2,13,1,"Average Rating",66,172
"126",39,"Midfielder",23,"Barcelona",1008,12,98,0,"High Rating",68,171
"127",28,"Midfielder",22,"Granada CF",602,25,61,0,"Low Rating",73,182
"128",31,"Attacker",11,"Deportivo La Coruna",91,6,23,0,"Average Rating",80,180
"129",31,"Defender",2,"Granada CF",18,1,2,0,"Low Rating",65,175
"130",34,"Midfielder",32,"Osasuna",648,38,125,7,"Average Rating",72,178
"131",30,"Midfielder",31,"Celta Vigo",1134,35,168,1,"Average Rating",77,186
"132",31,"Midfielder",23,"Deportivo La Coruna",527,13,80,1,"Low Rating",65,171
"133",34,"Attacker",35,"Real Sociedad",817,10,184,9,"High Rating",73,177
"134",28,"Midfielder",6,"Alaves",33,2,8,0,"Low Rating",73,175
"135",34,"Defender",17,"Celta Vigo",809,38,76,1,"High Rating",91,188
"136",30,"Attacker",20,"Barcelona",151,5,20,6,"High Rating",72,175
"137",34,"Attacker",19,"Real Madrid",441,18,90,7,"High Rating",81,186
"138",33,"Defender",25,"Las Palmas",966,26,91,0,"Low Rating",88,177
"139",30,"Attacker",25,"Leganes",269,4,48,4,"Average Rating",77,181
"140",28,"Defender",12,"Espanyol",218,16,54,2,"High Rating",79,188
"141",34,"Defender",25,"Sporting Gijon",624,57,129,0,"Low Rating",71,176
"142",33,"Midfielder",15,"Osasuna",325,15,60,1,"Low Rating",74,177
"143",35,"Defender",20,"Sporting Gijon",391,24,77,2,"Average Rating",76,179
"144",28,"Defender",4,"Sporting Gijon",57,4,9,0,"Low Rating",81,184
"145",38,"Defender",7,"Deportivo La Coruna",104,11,22,0,"Low Rating",68,171
"146",28,"Midfielder",8,"Osasuna",146,21,51,0,"Average Rating",75,184
"147",37,"Midfielder",37,"Eibar",624,35,156,10,"Average Rating",70,183
"148",40,"Attacker",8,"Granada CF",68,7,26,0,"Average Rating",78,183
"150",34,"Defender",15,"Las Palmas",484,19,75,0,"Low Rating",66,179
"151",35,"Midfielder",35,"Sevilla",2512,37,231,2,"High Rating",75,196
"153",32,"Midfielder",30,"Deportivo La Coruna",1114,46,185,2,"High Rating",77,179
"155",27,"Attacker",9,"Sporting Gijon",68,1,25,0,"Average Rating",68,176
"156",27,"Midfielder",10,"Granada CF",355,16,43,0,"Low Rating",75,180
"157",34,"Midfielder",7,"Osasuna",169,22,22,0,"Low Rating",83,192
"158",29,"Defender",5,"Osasuna",72,17,20,2,"High Rating",75,180
"159",28,"Midfielder",31,"Granada CF",1116,55,181,0,"Average Rating",76,185
"160",39,"Midfielder",29,"Malaga",547,17,101,1,"Average Rating",77,178
"161",31,"Defender",9,"Athletic Club",126,13,26,0,"Average Rating",73,187
"162",30,"Attacker",9,"Granada CF",60,1,16,0,"Low Rating",75,177
"163",40,"Defender",13,"Real Madrid",569,20,78,2,"High Rating",81,188
"164",32,"Midfielder",22,"Real Madrid",743,12,67,8,"High Rating",75,180
"165",35,"Defender",30,"Real Madrid",1172,40,122,2,"High Rating",75,174
"166",32,"Attacker",26,"Villarreal",286,2,79,11,"Average Rating",73,182
"168",34,"Defender",12,"Valencia",333,33,44,0,"High Rating",83,193
"169",35,"Defender",16,"Las Palmas",521,23,88,0,"Average Rating",76,179
"170",33,"Defender",28,"Malaga",595,61,152,2,"Average Rating",70,179
"171",31,"Attacker",11,"Las Palmas",116,5,28,2,"High Rating",79,180
"172",26,"Defender",13,"Leganes",194,15,47,0,"Average Rating",73,181
"173",39,"Attacker",21,"Malaga",190,4,88,3,"Average Rating",76,179
"174",34,"Midfielder",30,"Leganes",963,59,182,0,"High Rating",73,178
"175",32,"Defender",26,"Eibar",700,67,118,1,"Average Rating",68,178
"176",27,"Midfielder",19,"Las Palmas",190,12,63,2,"Average Rating",65,167
"177",36,"Attacker",34,"Barcelona",1320,7,234,37,"High Rating",72,170
"178",31,"Attacker",30,"Barcelona",1165,10,343,13,"High Rating",68,175
"179",27,"Midfielder",4,"Real Betis",79,2,9,0,"Average Rating",70,189
"180",37,"Defender",28,"Real Madrid",1533,57,155,7,"High Rating",82,184
"181",26,"Midfielder",23,"Valencia",682,14,99,3,"Average Rating",76,180
"182",36,"Attacker",31,"Atletico Madrid",272,7,62,12,"High Rating",70,172
"184",33,"Defender",14,"Real Betis",270,19,37,0,"Low Rating",67,176
"185",35,"Midfielder",23,"Deportivo La Coruna",693,49,114,3,"High Rating",75,184
"186",37,"Defender",22,"Sporting Gijon",526,24,72,1,"Average Rating",91,181
"187",36,"Midfielder",25,"Sporting Gijon",558,25,141,8,"Low Rating",71,177
"188",27,"Attacker",2,"Sporting Gijon",4,0,0,0,"Low Rating",85,192
"190",38,"Defender",21,"Sevilla",805,32,79,0,"High Rating",90,190
"191",33,"Attacker",31,"Sevilla",315,6,48,11,"High Rating",68,170
"192",30,"Midfielder",30,"Barcelona",866,11,92,3,"Average Rating",84,188
"193",33,"Midfielder",20,"Real Betis",463,13,61,2,"Low Rating",77,184
"194",27,"Attacker",19,"Deportivo La Coruna",131,13,75,0,"Low Rating",66,171
"195",30,"Midfielder",31,"Celta Vigo",1134,35,168,1,"Average Rating",77,186
"196",31,"Midfielder",23,"Deportivo La Coruna",527,13,80,1,"Low Rating",65,171
"197",34,"Attacker",35,"Real Sociedad",817,10,184,9,"High Rating",73,177
"198",28,"Midfielder",6,"Alaves",33,2,8,0,"Low Rating",73,175
"199",38,"Defender",34,"Atletico Madrid",1465,63,268,3,"High Rating",77,181
"200",36,"Attacker",35,"Barcelona",653,11,105,29,"High Rating",86,182
"201",37,"Defender",16,"Real Betis",254,23,52,0,"Average Rating",80,192
