Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
5,70,0,72,4,0,0,17,2,0,75,180,6.92,Defender
31,84,25,1116,13,46,35,55,0,13,76,185,6.674193,Midfielder
29,73,39,547,31,51,26,17,1,5,77,178,6.725,Midfielder
9,55,1,126,5,6,3,13,0,1,73,187,6.677777,Defender
9,58,5,60,1,6,2,1,0,0,75,177,6.455555,Attacker
13,84,5,569,5,4,3,20,2,1,81,188,7.223076,Defender
22,86,45,743,32,21,13,12,8,1,75,180,7.336363,Midfielder
30,81,45,1172,25,65,43,40,2,2,75,174,7.006666,Defender
26,71,12,286,49,28,13,2,11,5,73,182,6.861538,Attacker
12,83,0,333,2,1,1,33,0,1,83,193,6.9,Defender
16,81,14,521,11,29,16,23,0,3,76,179,6.6875,Defender
28,69,24,595,15,42,20,61,2,8,70,179,6.792857,Defender
11,79,7,116,17,13,6,5,2,2,79,180,6.936363,Attacker
13,63,6,194,7,16,5,15,0,3,73,181,6.683333,Defender
21,67,9,190,38,4,1,4,3,5,76,179,6.868421,Attacker
30,73,17,963,19,23,13,59,0,11,73,178,6.936666,Midfielder
26,69,24,700,3,40,26,67,1,3,68,178,6.857692,Defender
19,73,10,190,8,40,25,12,2,0,65,167,6.79375,Midfielder
34,79,83,1320,179,205,126,7,37,6,72,170,8.358823,Attacker
30,75,94,1165,105,271,168,10,13,7,68,175,8.046666,Attacker
4,83,1,79,1,1,1,2,0,0,70,189,6.775,Midfielder
28,88,6,1533,35,7,7,57,7,8,82,184,7.242857,Defender
23,86,20,682,28,44,24,14,3,4,76,180,6.708695,Midfielder
31,73,22,272,50,52,22,7,12,0,70,172,6.890322,Attacker
14,75,10,270,8,7,2,19,0,2,67,176,6.625,Defender
23,75,5,693,10,9,8,49,3,7,75,184,7.042857,Midfielder
22,77,4,526,9,1,1,24,1,2,91,181,6.85909,Defender
25,68,26,558,34,38,12,25,8,5,71,177,6.648,Midfielder
2,70,1,4,1,0,0,0,0,0,85,192,6.5,Attacker
21,81,2,805,11,6,3,32,0,4,90,190,6.928571,Defender
31,70,26,315,44,16,7,6,11,0,68,170,6.955172,Attacker
30,86,12,866,19,33,18,11,3,3,84,188,6.706666,Midfielder
20,79,9,463,9,12,9,13,2,5,77,184,6.625,Midfielder
19,78,10,131,24,48,22,13,0,0,66,171,6.57647,Attacker
31,85,9,1134,9,49,32,35,1,3,77,186,6.8,Midfielder
23,86,23,527,17,51,25,13,1,7,65,171,6.556521,Midfielder
35,78,69,817,63,106,59,10,9,6,73,177,7.114285,Attacker
6,76,3,33,2,5,1,2,0,1,73,175,6.483333,Midfielder
34,81,34,1465,25,129,74,63,3,5,77,181,7.32647,Defender
35,74,62,653,120,93,34,11,29,8,86,182,7.525714,Attacker
16,76,5,254,3,4,1,23,0,3,80,192,6.71875,Defender
34,66,35,809,56,84,36,25,5,9,83,187,6.579411,Midfielder
15,74,0,391,4,9,6,44,0,4,79,192,6.686666,Defender
28,77,22,486,44,60,30,25,3,5,63,169,6.77037,Midfielder
10,87,7,285,11,5,4,4,2,0,79,184,6.94,Midfielder
3,76,1,29,0,4,0,0,0,1,83,185,6.333333,Attacker
23,79,3,955,19,11,9,40,5,6,85,187,7.140909,Defender
4,79,6,105,2,6,4,2,1,0,66,172,6.825,Midfielder
23,87,26,1008,18,41,33,12,0,2,68,171,7.147826,Midfielder
22,80,6,602,6,16,9,25,0,6,73,182,6.60909,Midfielder
11,74,9,91,8,19,13,6,0,1,80,180,6.836363,Attacker
2,72,3,18,0,1,0,1,0,0,65,175,6.6,Defender
32,68,62,648,64,53,27,38,7,7,72,178,6.88125,Midfielder
2,87,1,43,3,4,2,2,0,1,70,170,6.25,Defender
