,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
204,2,485,87,7,285,6,5,8,5,4,30,64,2,2,0,0,0,79
205,0,171,76,1,29,0,4,4,10,0,13,36,0,0,1,0,0,83
206,1,1854,79,3,955,10,11,8,22,40,85,148,5,2,6,0,0,85
207,2,285,79,6,105,1,6,4,3,2,13,26,1,1,0,0,0,66
208,2,1329,87,26,1008,8,41,31,17,12,98,163,0,2,2,0,0,68
209,2,1268,80,6,602,3,16,12,31,25,61,140,0,0,6,0,0,73
210,0,348,74,9,91,3,19,4,3,6,23,40,0,1,1,0,0,80
211,1,73,72,3,18,0,1,0,1,1,2,6,0,0,0,0,0,65
212,2,2312,68,62,648,23,53,42,34,38,125,283,7,1,7,0,0,72
213,1,103,87,1,43,1,4,2,3,2,5,15,0,0,1,0,0,70
214,1,2133,91,0,1586,2,10,21,24,47,101,155,1,2,4,0,0,75
215,2,2007,80,14,649,4,17,19,37,30,98,217,1,1,4,0,0,74
216,1,1488,86,19,665,2,22,22,17,40,114,178,1,2,2,0,0,78
217,0,1308,65,12,388,13,77,44,28,12,115,254,4,1,6,0,0,75
218,1,2188,79,5,853,6,7,15,53,48,117,244,3,1,10,0,0,81
220,0,1492,60,6,255,10,21,27,31,1,123,305,4,1,2,0,0,70
221,0,2583,56,26,439,22,27,66,49,22,333,593,7,2,14,0,0,80
222,2,2211,84,44,1043,10,50,38,17,17,106,263,4,1,4,0,0,73
223,2,2471,79,28,803,21,39,47,64,34,144,359,9,2,8,1,0,76
224,0,2126,79,20,400,19,46,42,29,7,86,256,8,1,7,0,0,68
226,1,180,95,0,170,0,1,1,1,3,6,7,0,2,0,0,0,80
227,0,1453,81,13,337,9,98,29,1,2,97,184,2,0,0,0,0,68
228,2,974,73,20,215,2,51,18,15,8,78,177,0,0,4,0,0,66
229,2,42,79,1,26,0,1,1,2,1,3,11,0,0,1,0,0,72
230,1,2726,79,22,760,8,106,55,26,41,206,343,1,1,12,1,0,81
231,1,2029,73,3,661,5,2,16,32,77,108,213,2,1,2,1,0,75
232,0,2544,79,32,616,61,63,45,18,8,109,240,25,2,4,0,0,83
233,0,1402,73,18,377,15,44,39,30,7,116,257,6,1,2,0,0,79
234,1,665,73,0,292,0,6,2,8,17,32,57,0,1,2,0,0,78
235,1,1883,71,0,34,0,0,2,1,2,3,5,1,0,7,0,0,72
236,0,1287,75,5,182,6,19,17,55,2,82,235,2,0,4,0,1,84
237,1,2861,76,39,1011,5,43,16,40,58,181,331,1,1,5,0,1,73
238,2,1203,77,24,484,8,13,22,19,7,68,143,0,1,3,0,1,71
239,2,268,66,0,86,0,2,2,5,3,15,37,0,1,2,0,0,80
240,2,2143,84,23,951,2,24,82,57,51,222,383,1,2,9,0,1,78
241,1,3150,68,18,859,2,13,53,72,90,221,409,0,0,11,1,0,72
242,2,288,86,1,128,1,7,8,5,3,23,55,0,0,2,0,1,71
243,0,313,74,4,70,1,9,3,2,10,10,27,0,0,0,0,0,75
244,1,1123,71,2,395,0,1,2,8,22,34,57,0,1,4,0,0,88
245,2,957,78,8,159,8,18,8,9,4,20,74,1,0,1,0,0,66
246,2,947,77,9,476,4,15,13,14,9,44,118,2,1,3,0,0,69
247,2,1380,74,23,382,12,30,32,9,8,87,189,2,1,1,0,0,70
248,2,1452,80,20,334,7,50,53,26,11,116,246,0,0,3,0,0,73
249,1,2681,79,21,1064,3,35,44,42,43,178,283,1,2,13,0,1,62
250,0,2412,82,40,862,18,130,82,31,15,213,394,7,2,5,0,0,65
251,1,2970,74,7,1058,11,18,7,18,72,179,252,1,2,7,0,1,89
252,0,2117,60,27,383,5,135,35,29,51,188,391,1,0,3,0,0,73
253,1,1870,65,1,435,0,8,15,22,64,115,197,0,1,4,0,0,81
254,1,2189,66,2,481,4,1,13,41,54,110,203,1,1,8,0,0,72
255,0,16,40,0,2,0,1,0,0,0,1,4,0,0,0,0,0,69
256,2,1163,74,12,401,6,24,9,24,8,46,143,2,0,2,0,0,68
257,0,2799,66,39,526,30,113,55,30,14,169,394,5,1,4,0,0,81
259,2,1628,72,16,417,3,34,22,55,14,101,240,1,0,7,0,0,73
260,1,1049,68,6,159,6,43,14,20,14,63,177,1,0,3,0,0,65
261,0,1537,69,12,266,18,19,36,29,8,93,228,7,1,8,0,0,79
263,1,1498,76,5,625,4,21,15,25,30,92,159,3,2,3,0,0,80
264,2,1878,76,35,672,6,58,10,44,11,87,233,2,1,5,0,0,71
266,1,2341,77,4,968,7,5,16,23,58,108,173,4,2,7,0,0,90
267,1,1742,73,17,448,3,62,13,36,19,110,240,2,0,6,1,1,86
268,2,2394,73,47,864,13,25,41,21,23,154,322,3,1,3,0,0,74
269,2,90,91,0,31,0,0,0,4,1,4,8,0,0,0,0,0,71
270,0,274,71,11,91,2,18,12,5,1,23,48,1,1,2,0,0,71
271,1,1473,78,3,460,1,0,8,19,32,77,115,1,1,7,0,0,84
273,0,652,71,8,118,4,12,18,12,1,56,129,1,1,1,0,0,66
275,0,1070,75,14,197,9,7,17,28,4,39,108,4,1,8,0,0,79
276,0,1664,76,14,481,13,97,47,22,10,129,266,3,1,1,0,0,64
277,1,878,60,6,227,0,10,9,14,36,55,102,0,0,3,0,0,64
279,1,1253,76,0,394,0,8,20,14,22,84,125,0,2,2,0,0,79
280,1,2426,71,24,723,10,120,45,36,57,221,417,1,1,6,0,1,74
281,0,344,68,7,78,9,8,7,2,1,20,40,2,1,0,0,0,70
282,1,360,69,1,68,0,0,1,8,5,10,24,0,0,4,0,0,80
284,0,169,48,2,20,1,5,4,5,0,11,30,0,1,0,0,0,69
285,0,1465,71,12,355,15,18,26,15,3,116,267,7,1,4,0,0,80
287,1,1393,74,4,399,3,9,7,20,38,82,148,1,2,4,0,0,83
289,0,1203,66,22,303,22,22,16,18,1,50,139,6,2,4,0,0,79
290,2,1990,75,21,594,31,13,69,56,18,127,288,10,2,11,1,1,77
291,2,333,59,3,98,3,13,5,12,6,21,64,0,0,1,0,0,74
292,1,877,74,2,284,0,4,4,16,32,41,71,0,1,4,0,0,85
293,0,2092,74,32,712,20,60,73,60,10,202,411,7,2,8,0,0,82
294,1,1503,75,1,442,0,13,11,29,34,78,148,0,1,2,0,0,78
295,2,102,85,0,17,2,4,2,0,0,7,12,0,0,0,0,0,75
296,1,328,87,1,185,0,5,2,3,12,19,32,0,2,1,0,0,75
297,1,2586,77,21,806,1,63,26,47,50,155,309,0,1,5,0,0,72
299,1,1645,84,2,975,4,4,16,11,37,81,130,1,1,6,0,0,80
300,2,544,65,5,110,3,23,7,1,3,40,88,2,0,0,0,0,72
301,0,31,66,1,8,0,1,1,1,0,2,7,0,0,0,0,0,68
302,2,834,89,2,518,1,6,14,17,19,87,136,0,2,1,0,0,82
303,2,628,83,11,318,3,19,5,20,19,54,107,1,2,5,0,0,77
304,1,1359,82,2,724,1,4,8,35,25,82,143,0,2,2,0,0,81
305,1,2866,82,6,1343,6,11,34,28,63,170,263,2,2,10,0,0,86
307,1,1928,84,8,975,2,7,6,11,38,93,137,1,2,1,0,0,81
308,2,1708,83,10,907,4,12,45,53,43,194,343,4,2,9,0,0,84
309,2,2830,73,53,846,26,121,48,45,31,187,426,5,1,10,1,0,71
311,2,1688,90,17,944,5,74,37,17,21,166,258,1,2,2,0,0,78
312,1,1175,86,10,736,1,26,10,18,20,75,131,0,1,3,0,0,74
313,2,869,81,7,318,5,19,19,32,11,75,158,1,2,7,0,1,66
315,2,456,82,7,192,2,10,2,12,7,27,56,0,1,1,0,1,72
316,1,180,81,2,74,1,2,4,2,7,12,20,0,1,1,0,0,73
317,1,1622,70,11,524,1,9,21,32,39,98,189,0,1,6,0,0,73
318,2,1319,78,7,629,3,23,10,29,18,76,168,0,1,4,0,0,77
319,2,259,64,6,57,2,12,0,5,1,6,32,1,0,0,0,0,73
320,0,22,25,0,1,0,0,1,2,0,2,6,0,0,0,0,0,76
322,1,1965,87,24,1310,1,15,16,20,30,70,145,1,2,4,0,0,68
323,1,2382,87,35,1384,5,54,29,20,48,160,262,0,2,5,0,0,68
324,2,2693,88,14,1971,0,21,35,41,47,178,317,0,2,9,0,0,76
325,1,2014,86,36,1050,4,51,24,30,45,133,252,0,2,11,0,0,73
326,1,2301,90,9,1121,5,18,23,30,46,126,216,2,2,5,0,0,76
327,1,1285,80,16,404,0,39,13,12,11,56,116,0,0,0,0,0,66
328,0,1077,86,23,494,11,42,15,15,10,70,133,3,2,0,0,0,76
329,2,2335,79,39,1123,16,120,118,50,57,303,537,2,2,8,0,0,70
330,2,2501,91,81,1910,12,35,34,26,31,147,250,3,2,6,0,0,76
331,2,1892,88,33,1217,10,56,31,25,43,119,207,1,2,2,0,0,66
332,2,1385,83,42,526,11,53,48,28,9,119,229,2,2,4,0,0,70
333,0,1914,80,38,519,34,35,9,11,3,62,159,11,2,0,0,0,81
334,0,115,50,5,9,1,3,1,6,0,8,24,1,0,0,0,0,76
